,uid,title,episodes,members,score,Comedy,Action,Fantasy,Adventure,Drama,Sci-Fi,Hentai,Kids,Shounen,Romance,Slice of Life,Music,School,Supernatural,Historical,Mecha,Magic,Seinen,Mystery,Sports,Ecchi,Shoujo,Super Power,Parody,Military
0,28891,Haikyuu!! Second Season,25.0,489888,8.82,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,23273,Shigatsu wa Kimi no Uso,22.0,995473,8.83,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,34599,Made in Abyss,13.0,581663,8.83,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,5114,Fullmetal Alchemist: Brotherhood,64.0,1615084,9.23,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,31758,Kizumonogatari III: Reiketsu-hen,1.0,214621,8.83,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,37510,Mob Psycho 100 II,13.0,442310,8.89,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,199,Sen to Chihiro no Kamikakushi,1.0,913212,8.9,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,38000,Kimetsu no Yaiba,26.0,575037,8.92,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8,35247,Owarimonogatari 2nd Season,7.0,189944,8.93,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9,2904,Code Geass: Hangyaku no Lelouch R2,25.0,992196,8.93,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
10,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10.0,395375,8.94,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11,34096,Gintama.,12.0,139309,8.94,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1.0,135232,8.95,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13,918,Gintama,201.0,579150,8.97,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14,4181,Clannad: After Story,24.0,740101,8.97,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,15417,Gintama': Enchousen,13.0,166446,8.98,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16,30276,One Punch Man,12.0,1475219,8.68,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
17,16664,Kaguya-hime no Monogatari,1.0,99563,8.28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,4672,Koukaku Kidoutai 2.0,1.0,72331,8.06,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
19,8038,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,1.0,33038,7.88,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7588,Saraiya Goyou,12.0,61146,7.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
21,1253,Saint Seiya: Meiou Hades Meikai-hen,12.0,33453,7.86,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,20767,Noragami OVA,2.0,200244,7.86,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,1425,Lupin III: Part II,155.0,19405,7.86,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
24,35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",1.0,87716,7.86,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,22673,Kuroko no Basket 2nd Season NG-shuu,9.0,38046,7.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,6862,K-On!: Live House!,1.0,102122,7.86,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,5680,K-On!,13.0,610222,7.86,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,451,InuYasha Movie 3: Tenka Hadou no Ken,1.0,68407,7.86,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
29,9563,Hidamari Sketch x ☆☆☆ Specials,2.0,11600,7.86,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
